Date,PortfolioMTM,NAV,DailyReturn,Equity,HedgeShares,CallNum,NetDelta,Gamma,Vega,Theta,Vanna,Volga,TradeEvent,CallSymbol,ExitCallSymbol,Rolled,RehedgeDay
2024-08-19,114555.85959228518,114555.85959228518,-0.004315411940311941,1.1455585959228514,-468.0,966.0,-0.2179075118301057,0.06150328578932829,32.39278847739007,-74.33103966080857,-1.8612347016317226,60.674170062015264,,O:AAPL240906C00220000,,False,True
2024-08-20,114729.38187744141,114729.38187744141,0.0015147394971659258,1.1472938187744137,-491.0,966.0,-0.02790537620012401,0.05818413260997118,30.77956457087235,-79.03234734675107,-1.8197450458942703,61.19703178969105,,O:AAPL240906C00220000,,False,True
2024-08-21,114599.85217712405,114599.85217712405,-0.0011290019888343054,1.14599852177124,-489.0,966.0,0.3568226510988666,0.0593359791877906,29.900516230923337,-82.33449378695217,-1.7943173085345157,58.28503293791694,,O:AAPL240906C00220000,,False,True
2024-08-22,114499.97978942873,114499.97978942873,-0.0008714879277588766,1.1449997978942867,-383.0,966.0,-0.16052925847515098,0.06803181682724044,31.72237908759605,-91.5374487699154,-1.4678550400481463,34.778470784786435,,O:AAPL240906C00220000,,False,True
2024-08-23,114243.1507244873,114243.1507244873,-0.002243048998032561,1.1424315072448725,-551.0,966.0,-0.15726543903883794,0.060453531436237704,25.944583221898668,-80.23523493074933,-2.0055247275061703,70.32818148839291,,O:AAPL240906C00220000,,False,True
2024-08-26,113988.19274230959,113988.19274230959,-0.002231713503705623,1.1398819274230954,-581.0,966.0,0.49491855208350444,0.059998205557477605,22.007451338542744,-93.22949022248511,-1.9026268938169815,63.42742023614612,,O:AAPL240906C00220000,,False,True
2024-08-27,113813.11919616701,113813.11919616701,-0.0015358919369689798,1.1381311919616695,-644.0,966.0,0.24769779374116752,0.05560211753627062,18.84467233241311,-89.7345345092508,-1.9480256939302045,71.14596964157661,,O:AAPL240906C00220000,,False,True
2024-08-28,114070.71487243651,114070.71487243651,0.00226332147022093,1.1407071487243645,234.0,-423.0,-0.475116280736529,0.06423931661681422,21.20676899241183,-118.7972247455856,-1.6486326628602317,44.73215697410291,enter_short,O:AAPL240906C00220000,O:AAPL240906C00220000,False,False
2024-08-29,114060.36201599118,114060.36201599118,-9.075823235531923e-05,1.1406036201599112,324.0,-423.0,-0.20390977210098526,0.04473233846184969,13.342071651543687,-87.50273158063084,-1.7544119936936604,71.12400424965386,,O:AAPL240906C00220000,,False,True
2024-08-30,114290.85419128416,114290.85419128416,0.002020791195285401,1.142908541912841,0.0,0.0,,,,,,,exit:force_close,,O:AAPL240906C00220000,False,False
2024-09-03,114290.85419128413,114290.85419128413,-2.5464706395512414e-16,1.1429085419128409,-206.0,-788.0,0.23761567801321348,0.04590757104099355,48.9661328219756,-69.23572406985913,1.216670573397954,26.450804690124947,enter_short,O:AAPL241004C00230000,,False,False
2024-09-04,114457.85381408688,114457.85381408688,0.0014611809841165778,1.1445785381408682,-284.0,-788.0,-0.2042325728143055,0.04504810477259428,45.264840404950945,-64.10166469048261,1.5391034624253757,45.582861586540176,,O:AAPL241004C00230000,,False,True
2024-09-05,114693.13416076655,114693.13416076655,0.0020556068355242806,1.1469313416076647,-238.0,-788.0,0.2008244747663639,0.047762369108941195,46.36358913545385,-67.9021186795189,1.3710372873823131,33.37417905334085,,O:AAPL241004C00230000,,False,True
2024-09-06,113984.85357971187,113984.85357971187,-0.006175440110145399,1.139848535797118,-275.0,-788.0,0.0008906870917257947,0.04355167858132926,44.03740937325297,-72.84269171496774,1.4040682631844446,38.84115442528709,,O:AAPL241004C00230000,,False,True
